entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_type,peak_price
2012-06-18,2012-07-26,38,105.6903,107.0822,1.32,ema,108.309
2012-10-17,2012-10-23,6,115.5834,111.8044,-3.27,ema,115.5834
2012-11-30,2012-12-31,31,112.3815,113.3856,0.89,ema,114.9272
2013-06-19,2013-06-21,2,130.7163,127.8866,-2.16,ema,130.7163
2013-07-09,2013-08-16,38,132.7587,133.3214,0.42,ema,137.4377
2013-09-11,2013-10-04,23,136.1915,136.4434,0.18,ema,139.126
2013-10-14,2013-12-13,60,138.0995,143.8921,4.19,ema,146.55
2014-02-14,2014-03-28,42,149.4737,151.3328,1.24,ema,152.9178
2014-04-23,2014-08-01,100,152.9319,157.8044,3.19,ema,162.846
2014-08-20,2014-09-16,27,163.0673,164.3462,0.78,ema,164.8626
2014-10-29,2014-12-11,43,163.1625,168.17,3.07,ema,171.3079
2014-12-23,2015-01-06,14,172.0463,165.4791,-3.82,ema,172.8496
2015-01-27,2015-01-29,2,167.8974,167.2762,-0.37,ema,167.8974
2015-02-06,2015-03-09,31,170.2244,172.5515,1.37,ema,175.5576
2015-03-20,2015-03-27,7,175.0269,171.1423,-2.22,ema,175.0269
2015-04-10,2015-05-07,27,174.7192,173.7459,-0.56,ema,176.0584
2015-06-22,2015-06-30,8,177.1154,172.0667,-2.85,ema,177.2408
2015-07-17,2015-07-28,11,177.6086,174.9756,-1.48,ema,177.7005
2015-08-19,2015-08-20,1,174.1314,170.4952,-2.09,ema,174.1314
2015-10-08,2015-11-13,36,169.0626,170.1801,0.66,ema,177.2884
2015-12-31,2016-01-05,5,172.317,170.1956,-1.23,ema,172.317
2016-02-23,2016-05-04,71,162.5546,174.1743,7.15,ema,178.4987
2016-05-26,2016-06-16,21,177.8531,177.0289,-0.46,ema,180.4273
2016-07-06,2016-08-29,54,179.0513,186.4811,4.15,ema,187.1046
2016-10-03,2016-10-12,9,185.2086,183.4319,-0.96,ema,185.5348
2016-11-11,2017-03-22,131,185.758,203.1528,9.36,ema,207.0214
2017-03-31,2017-04-04,4,204.4189,204.1934,-0.11,ema,204.4189
2017-04-07,2017-05-18,41,203.9506,205.312,0.67,ema,208.373
2017-07-11,2017-08-11,31,211.036,212.7177,0.8,ema,215.9854
2017-09-01,2018-02-05,157,215.9592,232.3022,7.57,trail,252.238
2018-02-28,2018-03-02,2,239.0971,236.835,-0.95,ema,239.0971
2018-03-09,2018-03-21,12,245.4518,238.9765,-2.64,ema,245.4518
2018-04-18,2018-04-26,8,238.9412,235.3358,-1.51,ema,238.9412
2018-04-30,2018-05-01,1,233.7451,234.1604,0.18,ema,234.1604
2018-05-09,2018-06-26,48,238.1548,241.0882,1.23,ema,246.4791
2018-07-10,2018-10-08,90,247.5682,256.6426,3.67,ema,260.5988
2018-12-04,2018-12-10,6,240.9758,235.4653,-2.29,ema,240.9758
2019-01-14,2019-03-11,56,230.858,249.7285,8.17,ema,251.5044
2019-06-12,2019-08-02,51,259.7918,264.8844,1.96,ema,273.3844
2019-09-06,2019-09-30,24,269.7997,269.8816,0.03,ema,272.7326
2019-10-16,2020-01-30,106,271.3639,299.4562,10.35,ema,303.3583
2020-04-13,2020-06-11,59,253.3981,276.3332,9.05,trail,297.0988
2020-10-08,2020-10-28,20,318.6781,302.8081,-4.98,trail,326.6965
2020-11-09,2021-02-01,84,328.6709,350.2453,6.56,ema,357.8417
2021-03-12,2021-05-13,62,366.8438,383.1945,4.46,ema,394.2529
2021-05-24,2021-06-21,28,391.4977,394.3621,0.73,ema,397.1856
2021-10-18,2021-11-29,42,420.3767,436.7429,3.89,ema,441.5652
2021-12-09,2021-12-21,12,438.3879,436.8245,-0.36,ema,442.5147
2021-12-22,2022-01-10,19,441.1921,439.1357,-0.47,ema,450.6444
2022-03-22,2022-04-12,21,425.4352,414.7422,-2.51,ema,436.7526
2022-06-06,2022-06-10,4,389.666,368.8575,-5.34,trail,393.4038
2022-07-21,2022-08-25,35,378.9946,398.6861,5.2,ema,408.3702
2022-10-26,2022-12-09,44,364.5484,375.2935,2.95,ema,389.0349
2023-01-12,2023-02-22,41,380.5446,382.0593,0.4,ema,399.545
2023-03-30,2023-04-27,28,388.4829,396.8647,2.16,ema,398.5967
2023-09-01,2023-09-20,19,435.7957,425.1683,-2.44,ema,435.7957
2023-11-07,2024-04-11,156,423.5108,505.693,19.4,ema,510.7402
2024-05-08,2024-07-25,78,504.9022,527.3137,4.44,ema,553.2186
2024-08-19,2024-09-06,18,548.0768,529.2236,-3.44,ema,552.0629
2024-09-12,2024-11-01,50,547.5676,560.9867,2.45,ema,574.2982
2024-11-07,2024-12-19,42,585.1241,575.7816,-1.6,ema,597.1094
2024-12-27,2025-02-25,60,586.5021,585.743,-0.13,ema,604.1658
2025-04-30,2025-10-14,167,548.2551,658.4806,20.1,ema,669.299
2025-12-01,2025-12-18,17,676.4185,672.64,-0.56,ema,685.2681
2026-02-10,2026-02-13,3,690.2349,679.8932,-1.5,ema,690.2349
