year,symbol,variant,is_thresh,is_sharpe,oos_ret,oos_bh_ret,oos_bl_ret,oos_sharpe,oos_max_dd,oos_trades,oos_suppressed,oos_blocked,oos_max_supp_dd,n_oos_days
2014,QQQ,combined,-2.0,0.992917600397799,0.18054003568947485,0.20123707495274945,0.06494958548257146,1.3830852935259796,-0.08248538230254365,1,7,0,-0.07421095996615823,251
2015,QQQ,exit_filter,-2.5,0.9705374660118804,0.08500657474295004,0.09765455060960004,-0.03155285471241365,0.5591469779369344,-0.1394103038265465,1,11,0,-0.05375714733430936,251
2015,QQQ,entry_gate,4.0,1.0111990843631997,0.002376892280819831,0.09765455060960004,-0.03155285471241365,0.07560506026800178,-0.06888913181863698,10,0,2,0.0,251
2015,QQQ,combined,3.5,1.0379522889614532,0.11709064097364119,0.09765455060960004,-0.03155285471241365,0.9659244552648,-0.045035438997637955,4,5,1,-0.03091969445011411,251
2016,QQQ,exit_filter,-0.5,0.9828429172057039,0.13242965724974476,0.09406165648849263,0.010600595084780062,1.1102193275370036,-0.07855555222625499,1,7,0,-0.07855555222625521,251
2016,QQQ,entry_gate,5.0,0.9182604706260138,0.05022677957454724,0.09406165648849263,0.010600595084780062,1.1546710282797075,-0.030868405268720478,2,0,4,0.0,251
2016,QQQ,combined,5.0,1.1343548080468435,0.05022677957454724,0.09406165648849263,0.010600595084780062,1.1546710282797075,-0.030868405268720478,2,0,4,0.0,251
2017,QQQ,exit_filter,-0.5,1.100195516321142,0.10933526290909246,0.314871802956028,0.09267927760518013,1.4897543718174926,-0.026506362125089278,1,1,0,-0.026368312224458235,250
2017,QQQ,entry_gate,5.0,1.0500866977175034,0.0002837723817579185,0.314871802956028,0.09267927760518013,0.026619291241948555,-0.026506362125089278,2,0,2,0.0,250
2017,QQQ,combined,4.0,1.2840318444483905,0.10933526290909246,0.314871802956028,0.09267927760518013,1.4897543718174926,-0.026506362125089278,1,1,0,-0.026368312224458235,250
2018,QQQ,exit_filter,-0.5,1.3432762072120836,-0.05884562112723046,-0.018465289542119456,-0.023965376788618986,-0.18204411013334523,-0.22796655426592394,1,13,0,-0.16870112414580252,250
2018,QQQ,entry_gate,5.0,1.0391080590846502,-0.010641932273303012,-0.018465289542119456,-0.023965376788618986,-0.16785188104367926,-0.04242535564535532,4,0,1,0.0,250
2018,QQQ,combined,3.0,1.4191027779880325,-0.05884562112723046,-0.018465289542119456,-0.023965376788618986,-0.18204411013334523,-0.22796655426592394,1,13,0,-0.16870112414580252,250
2019,QQQ,exit_filter,-0.5,1.0666477362063798,0.3201258692639579,0.3840531692270157,0.18495399010501257,1.929345515716653,-0.10983193554075676,1,4,0,-0.10983193554075754,251
2019,QQQ,entry_gate,5.0,0.8845427154232938,0.18495399010501257,0.3840531692270157,0.18495399010501257,1.5523237789405642,-0.09984393709851658,7,0,0,0.0,251
2019,QQQ,combined,3.5,1.200994228381757,0.2830523816422237,0.3840531692270157,0.18495399010501257,1.8789796961454723,-0.07884011769124077,3,2,0,-0.07455595798134196,251
2020,QQQ,exit_filter,-0.5,1.1160768348093302,0.5507816980663125,0.4596881111607565,0.46797001285309947,2.1830648637105594,-0.12749341290875027,1,5,0,-0.1274934129087505,252
2020,QQQ,entry_gate,3.0,0.9028969051651587,0.5140123226955995,0.4596881111607565,0.46797001285309947,2.5632991907898237,-0.08607445740180542,3,0,1,0.0,252
2020,QQQ,combined,3.5,1.2191402594337086,0.5140123226955995,0.4596881111607565,0.46797001285309947,2.5632991907898237,-0.08607445740180542,3,0,1,0.0,252
2021,QQQ,exit_filter,3.5,1.3904420373048758,0.13318180477477748,0.2924465763241908,0.13318180477477748,1.2962746625591266,-0.055754370575447965,7,0,0,0.0,251
2021,QQQ,entry_gate,5.0,1.1773128506938313,0.0217342718594693,0.2924465763241908,0.13318180477477748,0.4143577680737544,-0.05163479399384496,2,0,3,0.0,251
2021,QQQ,combined,3.5,1.4170869503457681,0.025480062259336522,0.2924465763241908,0.13318180477477748,0.3658517601030284,-0.051634793993845185,4,0,2,0.0,251
2022,QQQ,exit_filter,3.5,1.4736243968652596,-0.0013503982417572002,-0.33219889549311665,-0.0013503982417572002,0.05020398838498909,-0.08625776192654311,6,0,0,0.0,250
2022,QQQ,entry_gate,2.5,1.1550092240000167,0.0,-0.33219889549311665,-0.0013503982417572002,,0.0,0,0,3,0.0,250
2022,QQQ,combined,4.0,1.3905012104077688,0.0,-0.33219889549311665,-0.0013503982417572002,,0.0,0,0,3,0.0,250
2023,QQQ,exit_filter,3.5,1.2494765126011997,0.35931805814734297,0.5590953945240549,0.3370362379154235,2.0604008062282086,-0.10831146472688102,7,3,0,-0.07432935165504095,249
2023,QQQ,entry_gate,2.5,1.0309307441202862,0.37403069084913065,0.5590953945240549,0.3370362379154235,2.2565602148403032,-0.08363933646720312,7,0,1,0.0,249
2023,QQQ,combined,4.0,1.2491552549079996,0.4463760479127452,0.5590953945240549,0.3370362379154235,2.5473607861084435,-0.07432935165504162,3,3,2,-0.07432935165504095,249
2024,QQQ,exit_filter,3.5,1.3349039323890484,0.1548892546267877,0.27739912351043783,0.12511661969561616,1.2304530017132742,-0.11722592299930035,3,2,0,-0.07007255326259854,251
2024,QQQ,entry_gate,3.0,1.2845110978000365,0.12511661969561616,0.27739912351043783,0.12511661969561616,1.0677457361146354,-0.09637796521401054,5,0,0,0.0,251
2024,QQQ,combined,4.0,1.404775221223259,0.1548892546267877,0.27739912351043783,0.12511661969561616,1.2304530017132742,-0.11722592299930035,3,2,0,-0.07007255326259854,251
2025,QQQ,exit_filter,3.5,1.413829931234103,0.2179321330922479,0.21009253514962745,0.17943449211854134,1.6014760066405742,-0.08346320117273276,5,1,0,-0.04333902917907084,249
2025,QQQ,entry_gate,3.0,1.4153397018860747,0.2029057713617619,0.21009253514962745,0.17943449211854134,1.6614378160349217,-0.0907160849839953,5,0,1,0.0,249
2025,QQQ,combined,4.0,1.4465205768938088,0.25610068668416486,0.21009253514962745,0.17943449211854134,2.1124212513927847,-0.05050571937194703,2,0,3,0.0,249
2026,QQQ,exit_filter,3.5,1.400131765056164,0.1696041589445072,0.1671633421405283,0.1696041589445072,4.904483159703758,-0.010056746717555631,1,0,0,0.0,90
2026,QQQ,entry_gate,4.5,1.4984431061306973,0.0,0.1671633421405283,0.1696041589445072,,0.0,0,0,1,0.0,90
2026,QQQ,combined,4.5,1.5832826035709509,0.0,0.1671633421405283,0.1696041589445072,,0.0,0,0,1,0.0,90
